"","X.1","X","S_ID","S_gend","S_SES","num_tchrs","phys","tchr1","tchr2","tchr3","tchr4","tchr5","tchr6","tchr7","tchr8","tchr9","tchr10","tchr11","tchr12","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","w11","w12","Math","t10_exp","t1_exp","t2_exp","t3_exp","t4_exp","t5_exp","t6_exp","t7_exp","t8_exp","t9_exp","t11_exp","t12_exp","phys_tchr","SAT_M","female","NB"
"1",1,1,1,0,14.8806736039423,3,0,24,32,46,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,530.367082139654,0,9.51271047069275,9.60335949708028,11.0806765260795,0,0,0,0,0,0,0,0,0,795,1,0
"2",2,2,2,0,14.5757103809687,4,0,30,52,54,18,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,523.235337768623,0,10.1384996975031,12.6640188868136,11.336725230796,4.43451517905847,0,0,0,0,0,0,0,0,693,1,0
"3",3,3,3,1,13.1738838761668,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,457.629645145366,0,12.6826547730217,0,0,0,0,0,0,0,0,0,0,0,706,0,0
"4",4,4,4,1,13.0656019412086,2,0,32,30,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,504.414079027125,0,9.60335949708028,10.1384996975031,0,0,0,0,0,0,0,0,0,0,654,0,0
"5",5,5,5,0,16.1057147096526,2,0,3,48,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,443.203190477453,0,9.54109737773958,12.6319687988971,0,0,0,0,0,0,0,0,0,0,419,1,0
"6",6,6,6,1,8.19024391657214,2,1,3,44,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,431.533608526825,0,9.54109737773958,11.3092300060931,0,0,0,0,0,0,0,0,0,9,416,0,0
"7",7,7,7,1,13.3346585697627,1,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,382.437580026222,0,10.8196537490001,0,0,0,0,0,0,0,0,0,0,0,409,0,0
"8",8,8,8,1,12.1937466371965,1,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,491.666122449222,0,10.7984362537483,0,0,0,0,0,0,0,0,0,0,2,639,0,0
"9",9,9,9,1,9.50831260811007,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,433.100929572632,0,11.2888051365165,6.70776596349245,0,0,0,0,0,0,0,0,0,0,464,0,0
"10",10,10,10,0,11.612313757129,2,0,3,44,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,453.431342542723,0,9.54109737773958,11.3092300060931,0,0,0,0,0,0,0,0,0,0,475,1,0
"11",11,11,11,0,12.7206676386542,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,375.300498050066,0,7.80406012825676,0,0,0,0,0,0,0,0,0,0,0,303,1,0
"12",12,12,12,0,12.0835240612354,2,0,30,6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,498.689196048229,0,10.1384996975031,6.70776596349245,0,0,0,0,0,0,0,0,0,0,798,1,0
"13",13,13,13,1,14.9679935562644,5,0,41,27,54,51,56,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,412.637623680099,0,10.6661166318245,10.8196537490001,11.336725230796,11.5123969955704,11.2095714437702,0,0,0,0,0,0,0,265,0,0
"14",14,14,14,0,14.3744509468754,4,0,32,51,8,19,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,495.735021386127,0,9.60335949708028,11.5123969955704,12.3105226427771,13.9804579273837,0,0,0,0,0,0,0,0,664,1,0
"15",15,15,15,1,10.7787912533695,2,0,43,50,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,380.962048052934,0,8.84212216695445,11.1255603693714,0,0,0,0,0,0,0,0,0,0,292,0,0
"16",16,16,16,0,14.0831735358861,2,0,4,44,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,408.899226805455,0,6.76306352594885,11.3092300060931,0,0,0,0,0,0,0,0,0,0,321,1,0
"17",17,17,17,1,14.5603559568855,2,0,41,47,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,497.848568768859,0,10.6661166318245,7.17406798003331,0,0,0,0,0,0,0,0,0,0,555,0,0
"18",18,18,18,2,10.6156221472552,1,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,376.551510529692,0,8.80820170856509,0,0,0,0,0,0,0,0,0,0,10,340,0,1
"19",19,19,19,0,12.5054657237823,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,488.919300807542,0,10.3871985168316,0,0,0,0,0,0,0,0,0,0,0,752,1,0
"20",20,20,20,1,16.3081438627747,6,1,22,2,38,31,37,42,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,401.842353744608,0,9.80367878257245,12.1012157080687,9.73603882956232,11.3233010955249,14.0426112520509,12.231555005867,0,0,0,0,0,14,211,0,0
"21",21,21,21,1,14.0060797903188,6,1,12,24,35,21,40,19,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,496.566587114772,0,12.6826547730217,9.51271047069275,11.8696938380526,8.71505503742822,13.1075611039344,13.9804579273837,0,0,0,0,0,10,723,0,0
"22",22,22,22,0,14.8201067340257,4,0,51,33,18,34,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,382.534299515133,0,11.5123969955704,9.91540359655629,4.43451517905847,11.66787751479,0,0,0,0,0,0,0,0,256,1,0
"23",23,23,23,1,16.5124393187326,5,0,35,1,32,41,11,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,481.894341106949,0,11.8696938380526,8.98849581602542,9.60335949708028,10.6661166318245,9.29957302994508,0,0,0,0,0,0,0,635,0,0
"24",24,24,24,0,13.254074115086,2,0,10,11,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,322.319743537522,0,8.80820170856509,9.29957302994508,0,0,0,0,0,0,0,0,0,0,241,1,0
"25",25,25,25,0,13.5319339378723,5,1,1,9,22,40,4,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,453.178589069674,0,8.98849581602542,7.80406012825676,9.80367878257245,13.1075611039344,6.76306352594885,0,0,0,0,0,0,8,544,1,0
"26",26,26,26,0,15.1600765579013,2,0,52,45,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,394.546259956237,0,12.6640188868136,8.63967659646806,0,0,0,0,0,0,0,0,0,0,211,1,0
"27",27,27,27,0,13.0187377016245,3,0,23,27,42,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,471.957750579005,0,8.11225407772147,10.8196537490001,12.231555005867,0,0,0,0,0,0,0,0,0,559,1,0
"28",28,28,28,0,13.7684404876506,2,0,26,48,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,377.168187841406,0,8.83553574538857,12.6319687988971,0,0,0,0,0,0,0,0,0,0,288,1,0
"29",29,29,29,1,11.9340543034762,2,0,48,36,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,449.109764582389,0,12.6319687988971,11.8739321105798,0,0,0,0,0,0,0,0,0,0,398,0,0
"30",30,30,30,0,11.3549046210735,4,0,18,21,22,31,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,418.089843693178,0,4.43451517905847,8.71505503742822,9.80367878257245,11.3233010955249,0,0,0,0,0,0,0,0,535,1,0
"31",31,31,31,0,12.9066900748278,12,0,51,23,1,2,43,15,46,17,13,40,29,45,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,344.788760300116,13.1075611039344,11.5123969955704,8.11225407772147,8.98849581602542,12.1012157080687,8.84212216695445,8.29223077917004,11.0806765260795,9.51628646755361,10.7984362537483,10.7250079784901,8.63967659646806,0,349,1,0
"32",32,32,32,1,11.8743807285896,3,0,15,36,50,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,430.436193683676,0,8.29223077917004,11.8739321105798,11.1255603693714,0,0,0,0,0,0,0,0,0,400,0,0
"33",33,33,33,0,14.573781998133,2,1,56,55,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,528.833879850125,0,11.2095714437702,10.1474117796323,0,0,0,0,0,0,0,0,0,19,769,1,0
"34",34,34,34,0,11.704866512373,2,1,17,11,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,331.957785952183,0,9.51628646755361,9.29957302994508,0,0,0,0,0,0,0,0,0,21,215,1,0
"35",35,35,35,1,11.4399350278032,1,1,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,411.465455310308,0,10.1474117796323,0,0,0,0,0,0,0,0,0,0,7,308,0,0
"36",36,36,36,1,11.1969496116033,1,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,363.367357655749,0,9.51271047069275,0,0,0,0,0,0,0,0,0,0,0,310,0,0
"37",37,37,37,1,15.257088729238,2,0,49,54,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,473.634255845705,0,11.04926962007,11.336725230796,0,0,0,0,0,0,0,0,0,0,482,0,0
"38",38,38,38,0,12.2323463994178,4,0,54,26,12,18,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,427.587777497113,0,11.336725230796,8.83553574538857,12.6826547730217,4.43451517905847,0,0,0,0,0,0,0,0,328,1,0
"39",39,39,39,1,11.8134388299122,1,1,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,515.890165916196,0,14.0426112520509,0,0,0,0,0,0,0,0,0,0,21,697,0,0
"40",40,40,40,0,12.749948205832,6,0,37,5,4,30,6,38,0,0,0,0,0,0,0.166,0.166,0.166,0.166,0.166,0.166,0,0,0,0,0,0,549.862532500808,0,14.0426112520509,11.2888051365165,6.76306352594885,10.1384996975031,6.70776596349245,9.73603882956232,0,0,0,0,0,0,734,1,0
"41",41,41,41,1,12.034615453818,4,0,53,16,29,54,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,459.562166491393,0,9.64516503595887,12.6418455693281,10.7250079784901,11.336725230796,0,0,0,0,0,0,0,0,500,0,0
"42",42,42,42,1,16.3420907999939,1,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,502.833402470843,0,11.8739321105798,0,0,0,0,0,0,0,0,0,0,0,749,0,0
